====== PRINT_BPTREE ======
FrequentPattern		Frequency
{chocolate bread, eggs} 2
{corn, eggs} 2
{eggs, mashed potato} 2
{eggs, pickles} 2
{eggs, shallot} 2
{burger sauce, eggs, fresh bread} 3
{burger sauce, eggs, turkey} 3
{burgers, eggs, gluten free bar} 3
{burgers, eggs, gums} 3
{burgers, eggs, honey} 3
{burgers, eggs, melons} 3
{burgers, eggs, pepper} 3
{burgers, eggs, strawberries} 3
{butter, eggs, french wine} 3
{butter, eggs, meatballs} 3
{butter, eggs, shrimp} 3
{butter, eggs, soup} 3
{butter, eggs, whole wheat pasta} 3
{butter, eggs, whole wheat rice} 3
{cake, cider, eggs} 3
{cake, cookies, eggs} 3
{cake, eggs, energy bar} 3
{cake, eggs, french wine} 3
{cake, eggs, gums} 3
{cake, eggs, ham} 3
{cake, eggs, tomato juice} 3
{cake, eggs, whole wheat pasta} 3
{cake, eggs, yogurt cake} 3
{carrots, eggs, milk} 3
{cauliflower, eggs, mineral water} 3
{cereals, chicken, eggs} 3
{cereals, chocolate, eggs} 3
{cereals, eggs, french fries} 3
{cereals, eggs, green tea} 3
{cereals, eggs, milk} 3
{cereals, eggs, pancakes} 3
{cereals, eggs, shrimp} 3
{cereals, eggs, tomatoes} 3
{champagne, eggs, energy bar} 3
{champagne, eggs, light mayo} 3
{champagne, eggs, low fat yogurt} 3
{chicken, cider, eggs} 3
{chicken, eggs, extra dark chocolate} 3
{chicken, eggs, flax seed} 3
{chicken, eggs, ham} 3
{chicken, eggs, light cream} 3
{chicken, eggs, mint} 3
{chicken, eggs, whole wheat pasta} 3
{chili, eggs, mineral water} 3
{chocolate, eggs, energy bar} 3
{chocolate, eggs, energy drink} 3
{chocolate, eggs, green grapes} 3
{chocolate, eggs, light mayo} 3
{chocolate, eggs, nonfat milk} 3
{chocolate, eggs, yogurt cake} 3
{chutney, eggs, grated cheese} 3
{chutney, eggs, mineral water} 3
{cider, cottage cheese, eggs} 3
{cider, eggs, shrimp} 3
{cider, eggs, whole wheat rice} 3
{clothes accessories, eggs, milk} 3
{cookies, cottage cheese, eggs} 3
{cookies, eggs, honey} 3
{cookies, eggs, muffins} 3
{cottage cheese, eggs, energy drink} 3
{cottage cheese, eggs, fromage blanc} 3
{cottage cheese, eggs, gluten free bar} 3
{cottage cheese, eggs, milk} 3
{cottage cheese, eggs, muffins} 3
{cottage cheese, eggs, red wine} 3
{cottage cheese, eggs, shrimp} 3
{cottage cheese, eggs, vegetables mix} 3
{dessert wine, eggs, mineral water} 3
{eggplant, eggs, green tea} 3
{eggplant, eggs, low fat yogurt} 3
{eggplant, eggs, turkey} 3
{eggs, energy bar, frozen smoothie} 3
{eggs, energy bar, light mayo} 3
{eggs, energy bar, pancakes} 3
{eggs, energy bar, strawberries} 3
{eggs, energy drink, grated cheese} 3
{eggs, energy drink, soup} 3
{eggs, escalope, honey} 3
{eggs, escalope, mushroom cream sauce} 3
{eggs, escalope, parmesan cheese} 3
{eggs, escalope, salmon} 3
{eggs, escalope, shrimp} 3
{eggs, escalope, soup} 3
{eggs, flax seed, ground beef} 3
{eggs, flax seed, mineral water} 3
{eggs, french fries, red wine} 3
{eggs, french fries, rice} 3
{eggs, french fries, zucchini} 3
{eggs, french wine, green beans} 3
{eggs, french wine, low fat yogurt} 3
{eggs, french wine, salmon} 3
{eggs, french wine, shrimp} 3
{eggs, french wine, tomato juice} 3
{eggs, french wine, whole wheat pasta} 3
{eggs, fresh bread, shrimp} 3
{eggs, fresh bread, soup} 3
{eggs, fresh bread, whole wheat rice} 3
{eggs, fresh tuna, gluten free bar} 3
{eggs, fresh tuna, light mayo} 3
{eggs, fresh tuna, milk} 3
{eggs, fresh tuna, salmon} 3
{eggs, fromage blanc, pancakes} 3
{eggs, fromage blanc, red wine} 3
{eggs, fromage blanc, spaghetti} 3
{eggs, fromage blanc, turkey} 3
{eggs, frozen smoothie, grated cheese} 3
{eggs, frozen smoothie, ham} 3
{eggs, frozen smoothie, protein bar} 3
{eggs, frozen smoothie, tomato juice} 3
{eggs, frozen smoothie, yogurt cake} 3
{eggs, frozen vegetables, ham} 3
{eggs, frozen vegetables, hot dogs} 3
{eggs, frozen vegetables, meatballs} 3
{eggs, frozen vegetables, melons} 3
{eggs, frozen vegetables, muffins} 3
{eggs, frozen vegetables, protein bar} 3
{eggs, frozen vegetables, tomato juice} 3
{eggs, frozen vegetables, white wine} 3
{eggs, frozen vegetables, yogurt cake} 3
{eggs, gluten free bar, mineral water} 3
{eggs, grated cheese, green tea} 3
{eggs, grated cheese, ham} 3
{eggs, grated cheese, nonfat milk} 3
{eggs, grated cheese, protein bar} 3
{eggs, grated cheese, tomato juice} 3
{eggs, grated cheese, tomato sauce} 3
{eggs, grated cheese, whole wheat rice} 3
{eggs, green beans, mineral water} 3
{eggs, green grapes, mineral water} 3
{eggs, green grapes, pancakes} 3
{eggs, green grapes, shrimp} 3
{eggs, green tea, hot dogs} 3
{eggs, green tea, melons} 3
{eggs, green tea, mint} 3
{eggs, green tea, parmesan cheese} 3
{eggs, green tea, pasta} 3
{eggs, green tea, vegetables mix} 3
{eggs, green tea, white wine} 3
{eggs, ground beef, ham} 3
{eggs, ground beef, hot dogs} 3
{eggs, ground beef, meatballs} 3
{eggs, ground beef, mint} 3
{eggs, ground beef, mushroom cream sauce} 3
{eggs, ground beef, pepper} 3
{eggs, ground beef, rice} 3
{eggs, ground beef, tomato juice} 3
{eggs, ground beef, whole weat flour} 3
{eggs, gums, mineral water} 3
{eggs, gums, spaghetti} 3
{eggs, gums, turkey} 3
{eggs, ham, honey} 3
{eggs, ham, light mayo} 3
{eggs, ham, tomatoes} 3
{eggs, honey, milk} 3
{eggs, honey, protein bar} 3
{eggs, honey, red wine} 3
{eggs, honey, tomatoes} 3
{eggs, hot dogs, light mayo} 3
{eggs, hot dogs, tomatoes} 3
{eggs, hot dogs, turkey} 3
{eggs, light cream, milk} 3
{eggs, light cream, pancakes} 3
{eggs, light cream, shrimp} 3
{eggs, light mayo, low fat yogurt} 3
{eggs, light mayo, milk} 3
{eggs, light mayo, vegetables mix} 3
{eggs, light mayo, yogurt cake} 3
{eggs, low fat yogurt, meatballs} 3
{eggs, low fat yogurt, mushroom cream sauce} 3
{eggs, low fat yogurt, pepper} 3
{eggs, low fat yogurt, soda} 3
{eggs, low fat yogurt, vegetables mix} 3
{eggs, mayonnaise, mineral water} 3
{eggs, meatballs, pancakes} 3
{eggs, melons, milk} 3
{eggs, milk, parmesan cheese} 3
{eggs, milk, pasta} 3
{eggs, milk, salad} 3
{eggs, milk, salt} 3
{eggs, milk, toothpaste} 3
{eggs, milk, white wine} 3
{eggs, milk, yogurt cake} 3
{eggs, mineral water, soda} 3
{eggs, mineral water, spinach} 3
{eggs, mineral water, toothpaste} 3
{eggs, mineral water, yams} 3
{eggs, mint, spaghetti} 3
{eggs, mint, tomatoes} 3
{eggs, muffins, shrimp} 3
{eggs, muffins, tomatoes} 3
{eggs, pancakes, parmesan cheese} 3
{eggs, pancakes, tomato sauce} 3
{eggs, pancakes, yogurt cake} 3
{eggs, parmesan cheese, tomatoes} 3
{eggs, pasta, spaghetti} 3
{eggs, pepper, salmon} 3
{eggs, pet food, red wine} 3
{eggs, protein bar, spaghetti} 3
{eggs, red wine, soup} 3
{eggs, salmon, tomatoes} 3
{eggs, shrimp, soup} 3
{eggs, shrimp, strawberries} 3
{eggs, shrimp, tomatoes} 3
{eggs, shrimp, vegetables mix} 3
{eggs, soup, whole wheat pasta} 3
{eggs, spaghetti, spinach} 3
{eggs, spaghetti, strawberries} 3
{eggs, spaghetti, vegetables mix} 3
{eggs, tomatoes, vegetables mix} 3
{almonds, burgers, chocolate, eggs} 3
{almonds, burgers, eggs, green tea} 3
{almonds, burgers, eggs, milk} 3
{almonds, burgers, eggs, turkey} 3
{almonds, eggs, french fries, green tea} 3
{almonds, eggs, french fries, milk} 3
{almonds, eggs, green tea, mineral water} 3
{almonds, eggs, mineral water, tomato sauce} 3
{antioxydant juice, eggs, frozen vegetables, mineral water} 3
{avocado, chicken, chocolate, eggs} 3
{avocado, chicken, eggs, frozen smoothie} 3
{avocado, eggs, ham, pancakes} 3
{avocado, eggs, mineral water, pancakes} 3
{bacon, burgers, eggs, green tea} 3
{black tea, eggs, milk, spaghetti} 3
{black tea, eggs, milk, turkey} 3
{black tea, eggs, mineral water, pancakes} 3
{body spray, cake, eggs, french fries} 3
{body spray, eggs, french fries, mineral water} 3
{body spray, eggs, french fries, spaghetti} 3
{body spray, eggs, frozen smoothie, mineral water} 3
{body spray, eggs, ground beef, spaghetti} 3
{brownies, cake, eggs, spaghetti} 3
{brownies, chocolate, eggs, french fries} 3
{brownies, chocolate, eggs, mineral water} 3
{brownies, chocolate, eggs, spaghetti} 3
{brownies, eggs, frozen vegetables, ground beef} 3
{brownies, eggs, frozen vegetables, milk} 3
{burger sauce, chicken, eggs, fresh bread} 3
{burgers, cake, eggs, french fries} 3
{burgers, cake, eggs, frozen vegetables} 3
{burgers, cake, eggs, ground beef} 3
{burgers, cake, eggs, pancakes} 3
{burgers, chicken, eggs, mineral water} 3
{burgers, chocolate, eggs, frozen smoothie} 3
{burgers, chocolate, eggs, grated cheese} 3
{burgers, chocolate, eggs, green tea} 3
{burgers, chocolate, eggs, tomatoes} 3
{burgers, chocolate, eggs, turkey} 3
{burgers, chocolate, eggs, whole wheat rice} 3
{burgers, cookies, eggs, milk} 3
{burgers, cottage cheese, eggs, hot dogs} 3
{burgers, cottage cheese, eggs, mineral water} 3
{burgers, eggs, energy bar, green tea} 3
{burgers, eggs, energy bar, spaghetti} 3
{burgers, eggs, energy drink, french fries} 3
{burgers, eggs, energy drink, green tea} 3
{burgers, eggs, escalope, mineral water} 3
{burgers, eggs, escalope, pancakes} 3
{burgers, eggs, escalope, spaghetti} 3
{burgers, eggs, french fries, frozen smoothie} 3
{burgers, eggs, french fries, shrimp} 3
{burgers, eggs, french fries, whole wheat rice} 3
{burgers, eggs, french wine, spaghetti} 3
{burgers, eggs, fresh bread, frozen vegetables} 3
{burgers, eggs, fresh bread, milk} 3
{burgers, eggs, fresh tuna, light mayo} 3
{burgers, eggs, fresh tuna, spaghetti} 3
{burgers, eggs, frozen smoothie, pancakes} 3
{burgers, eggs, frozen smoothie, spaghetti} 3
{burgers, eggs, frozen vegetables, pancakes} 3
{burgers, eggs, grated cheese, green tea} 3
{burgers, eggs, green tea, milk} 3
{burgers, eggs, green tea, mushroom cream sauce} 3
{burgers, eggs, green tea, pancakes} 3
{burgers, eggs, green tea, tomatoes} 3
{burgers, eggs, green tea, whole wheat rice} 3
{burgers, eggs, green tea, yogurt cake} 3
{burgers, eggs, ground beef, milk} 3
{burgers, eggs, ground beef, salmon} 3
{burgers, eggs, ground beef, soup} 3
{burgers, eggs, ham, whole wheat rice} 3
{burgers, eggs, light mayo, spaghetti} 3
{burgers, eggs, light mayo, tomatoes} 3
{burgers, eggs, low fat yogurt, turkey} 3
{burgers, eggs, milk, pancakes} 3
{burgers, eggs, milk, tomatoes} 3
{burgers, eggs, mineral water, salmon} 3
{burgers, eggs, mineral water, turkey} 3
{burgers, eggs, pancakes, vegetables mix} 3
{burgers, eggs, pasta, shrimp} 3
{burgers, eggs, salmon, spaghetti} 3
{burgers, eggs, shrimp, whole wheat rice} 3
{burgers, eggs, spaghetti, tomatoes} 3
{burgers, eggs, spaghetti, whole wheat rice} 3
{butter, chocolate, eggs, green tea} 3
{butter, chocolate, eggs, ground beef} 3
{butter, eggs, french fries, green tea} 3
{butter, eggs, green tea, turkey} 3
{butter, eggs, pancakes, spaghetti} 3
{butter, eggs, pancakes, turkey} 3
{cake, chicken, eggs, french fries} 3
{cake, chicken, eggs, spaghetti} 3
{cake, chocolate, eggs, grated cheese} 3
{cake, chocolate, eggs, ground beef} 3
{cake, chocolate, eggs, salmon} 3
{cake, eggs, energy drink, spaghetti} 3
{cake, eggs, french fries, turkey} 3
{cake, eggs, fresh bread, milk} 3
{cake, eggs, fresh tuna, mineral water} 3
{cake, eggs, fresh tuna, turkey} 3
{cake, eggs, fromage blanc, frozen smoothie} 3
{cake, eggs, frozen smoothie, hot dogs} 3
{cake, eggs, frozen vegetables, mineral water} 3
{cake, eggs, frozen vegetables, tomatoes} 3
{cake, eggs, grated cheese, mineral water} 3
{cake, eggs, green tea, milk} 3
{cake, eggs, green tea, shrimp} 3
{cake, eggs, green tea, spaghetti} 3
{cake, eggs, green tea, tomatoes} 3
{cake, eggs, ground beef, milk} 3
{cake, eggs, ground beef, pancakes} 3
{cake, eggs, ground beef, tomatoes} 3
{cake, eggs, ground beef, turkey} 3
{cake, eggs, mineral water, pancakes} 3
{cake, eggs, mineral water, tomatoes} 3
{cake, eggs, mineral water, whole wheat rice} 3
{cake, eggs, pancakes, whole wheat rice} 3
{cake, eggs, parmesan cheese, shrimp} 3
{cake, eggs, parmesan cheese, spaghetti} 3
{cereals, eggs, frozen vegetables, mineral water} 3
{cereals, eggs, shrimp, spaghetti} 3
{champagne, eggs, french fries, ham} 3
{champagne, eggs, french fries, milk} 3
{champagne, eggs, french fries, pancakes} 3
{champagne, eggs, french fries, spaghetti} 3
{champagne, eggs, ham, pancakes} 3
{champagne, eggs, low fat yogurt, salmon} 3
{champagne, eggs, mineral water, pancakes} 3
{chicken, chocolate, eggs, green tea} 3
{chicken, chocolate, eggs, spaghetti} 3
{chicken, eggs, french fries, fresh bread} 3
{chicken, eggs, french fries, frozen smoothie} 3
{chicken, eggs, french fries, frozen vegetables} 3
{chicken, eggs, french fries, grated cheese} 3
{chicken, eggs, french fries, green tea} 3
{chicken, eggs, french fries, turkey} 3
{chicken, eggs, fresh bread, turkey} 3
{chicken, eggs, frozen smoothie, frozen vegetables} 3
{chicken, eggs, frozen smoothie, milk} 3
{chicken, eggs, frozen vegetables, green tea} 3
{chicken, eggs, frozen vegetables, whole wheat pasta} 3
{chicken, eggs, green tea, spaghetti} 3
{chicken, eggs, ground beef, mineral water} 3
{chicken, eggs, light cream, mineral water} 3
{chicken, eggs, milk, whole wheat rice} 3
{chicken, eggs, mineral water, salmon} 3
{chicken, eggs, spaghetti, tomatoes} 3
{chocolate, cookies, eggs, green tea} 3
{chocolate, eggs, escalope, green tea} 3
{chocolate, eggs, escalope, pancakes} 3
{chocolate, eggs, french fries, muffins} 3
{chocolate, eggs, french fries, soup} 3
{chocolate, eggs, french fries, turkey} 3
{chocolate, eggs, french wine, frozen vegetables} 3
{chocolate, eggs, french wine, mineral water} 3
{chocolate, eggs, french wine, spaghetti} 3
{chocolate, eggs, french wine, whole wheat pasta} 3
{chocolate, eggs, fresh bread, ground beef} 3
{chocolate, eggs, fresh bread, milk} 3
{chocolate, eggs, fresh bread, pancakes} 3
{chocolate, eggs, fresh bread, white wine} 3
{chocolate, eggs, frozen smoothie, frozen vegetables} 3
{chocolate, eggs, frozen smoothie, green tea} 3
{chocolate, eggs, frozen smoothie, pancakes} 3
{chocolate, eggs, frozen smoothie, whole wheat rice} 3
{chocolate, eggs, frozen vegetables, grated cheese} 3
{chocolate, eggs, frozen vegetables, low fat yogurt} 3
{chocolate, eggs, frozen vegetables, soup} 3
{chocolate, eggs, frozen vegetables, tomatoes} 3
{chocolate, eggs, frozen vegetables, turkey} 3
{chocolate, eggs, frozen vegetables, white wine} 3
{chocolate, eggs, frozen vegetables, whole wheat pasta} 3
{chocolate, eggs, grated cheese, milk} 3
{chocolate, eggs, green tea, pancakes} 3
{chocolate, eggs, green tea, pepper} 3
{chocolate, eggs, green tea, turkey} 3
{chocolate, eggs, ground beef, shrimp} 3
{chocolate, eggs, ground beef, turkey} 3
{chocolate, eggs, ground beef, white wine} 3
{chocolate, eggs, ground beef, whole wheat pasta} 3
{chocolate, eggs, ground beef, whole wheat rice} 3
{chocolate, eggs, low fat yogurt, shrimp} 3
{chocolate, eggs, milk, salmon} 3
{chocolate, eggs, milk, vegetables mix} 3
{chocolate, eggs, mineral water, pasta} 3
{chocolate, eggs, mineral water, pepper} 3
{chocolate, eggs, mineral water, protein bar} 3
{chocolate, eggs, mineral water, rice} 3
{chocolate, eggs, mineral water, tomato sauce} 3
{chocolate, eggs, mineral water, whole wheat pasta} 3
{chocolate, eggs, pancakes, soup} 3
{chocolate, eggs, salmon, vegetables mix} 3
{chocolate, eggs, spaghetti, tomatoes} 3
{cider, eggs, french fries, low fat yogurt} 3
{cider, eggs, french fries, pancakes} 3
{cider, eggs, french fries, spaghetti} 3
{cider, eggs, low fat yogurt, milk} 3
{cookies, eggs, green tea, mineral water} 3
{cookies, eggs, green tea, tomatoes} 3
{cookies, eggs, ground beef, mineral water} 3
{cookies, eggs, milk, spaghetti} 3
{cookies, eggs, mineral water, spaghetti} 3
{cottage cheese, eggs, energy drink, pancakes} 3
{cottage cheese, eggs, frozen vegetables, low fat yogurt} 3
{cottage cheese, eggs, frozen vegetables, mineral water} 3
{cottage cheese, eggs, milk, mineral water} 3
{cottage cheese, eggs, pancakes, spaghetti} 3
{eggs, energy bar, french fries, spaghetti} 3
{eggs, energy bar, frozen smoothie, milk} 3
{eggs, energy bar, green tea, milk} 3
{eggs, energy drink, grated cheese, spaghetti} 3
{eggs, energy drink, milk, mineral water} 3
{eggs, energy drink, pancakes, spaghetti} 3
{eggs, escalope, french fries, frozen smoothie} 3
{eggs, escalope, french fries, mineral water} 3
{eggs, escalope, french fries, spaghetti} 3
{eggs, escalope, frozen vegetables, ground beef} 3
{eggs, escalope, frozen vegetables, mineral water} 3
{eggs, escalope, grated cheese, mineral water} 3
{eggs, escalope, green tea, turkey} 3
{eggs, escalope, ground beef, spaghetti} 3
{eggs, escalope, honey, spaghetti} 3
{eggs, escalope, mineral water, pancakes} 3
{eggs, escalope, mineral water, spaghetti} 3
{eggs, escalope, pancakes, spaghetti} 3
{eggs, extra dark chocolate, mineral water, spaghetti} 3
{eggs, french fries, fresh bread, mineral water} 3
{eggs, french fries, frozen smoothie, mineral water} 3
{eggs, french fries, frozen smoothie, pancakes} 3
{eggs, french fries, frozen vegetables, ham} 3
{eggs, french fries, frozen vegetables, low fat yogurt} 3
{eggs, french fries, frozen vegetables, soup} 3
{eggs, french fries, frozen vegetables, turkey} 3
{eggs, french fries, frozen vegetables, vegetables mix} 3
{eggs, french fries, grated cheese, ground beef} 3
{eggs, french fries, grated cheese, milk} 3
{eggs, french fries, green tea, pancakes} 3
{eggs, french fries, green tea, shrimp} 3
{eggs, french fries, green tea, tomato juice} 3
{eggs, french fries, green tea, whole wheat pasta} 3
{eggs, french fries, green tea, whole wheat rice} 3
{eggs, french fries, ham, whole wheat rice} 3
{eggs, french fries, honey, spaghetti} 3
{eggs, french fries, light mayo, mineral water} 3
{eggs, french fries, light mayo, pancakes} 3
{eggs, french fries, light mayo, tomatoes} 3
{eggs, french fries, low fat yogurt, mineral water} 3
{eggs, french fries, low fat yogurt, whole wheat rice} 3
{eggs, french fries, mineral water, pasta} 3
{eggs, french fries, mineral water, shrimp} 3
{eggs, french fries, mineral water, whole wheat rice} 3
